Date,Site,Price
2021-06-10 21:20,Card Kingdom,$44.99
2021-06-10 21:20,Tcg Player Market,$�22.88
2021-06-10 21:20,Cardhoarder,29.13�tix
2021-06-10 21:20,Star City Games,$24.99
2021-06-11 07:23,Card Kingdom,$44.99
2021-06-11 07:23,Tcg Player Market,$ 22.49
2021-06-11 07:23,Cardhoarder,30.34 tix
2021-06-11 07:23,Star City Games,$24.99
2021-06-11 11:43,Card Kingdom,$44.99
2021-06-11 11:43,Tcg Player Market,$ 21.72
2021-06-11 11:43,Cardhoarder,33.85 tix
2021-06-11 11:43,Star City Games,$24.99
2021-06-11 15:54,Tcg Player Market,$ 20.68
2021-06-11 15:54,Cardhoarder,35.85 tix
2021-06-11 15:54,Card Kingdom,$44.99
2021-06-11 15:54,Star City Games,$24.99
2021-06-12 09:32,Card Kingdom,$44.99
2021-06-12 09:32,Tcg Player Market,$ 20.65
2021-06-12 09:32,Cardhoarder,35.40 tix
2021-06-12 09:32,Star City Games,$24.99
2021-06-12 10:56,Card Kingdom,$44.99
2021-06-12 10:56,Tcg Player Market,$ 20.63
2021-06-12 10:56,Cardhoarder,35.24 tix
2021-06-12 10:56,Star City Games,$24.99
