Date,Site,Price
2021-06-10 21:20,Tcg Player Market,$22.88
2021-06-10 21:20,Cardhoarder,29.13 tix
2021-06-11 07:23,Tcg Player Market,$ 22.49
2021-06-11 07:23,Cardhoarder,30.34 tix
2021-06-11 11:43,Tcg Player Market,$ 21.72
2021-06-11 11:43,Cardhoarder,33.85 tix
2021-06-11 15:54,Tcg Player Market,$ 20.68
2021-06-11 15:54,Cardhoarder,35.85 tix
2021-06-12 09:32,Tcg Player Market,$ 20.65
2021-06-12 09:32,Cardhoarder,35.40 tix
2021-06-12 10:56,Tcg Player Market,$ 20.63
2021-06-12 10:56,Cardhoarder,35.24 tix
2021-06-12 16:28,Tcg Player Market,$ 20.41
2021-06-12 16:28,Cardhoarder,36.60 tix
2021-06-12 19:49,Tcg Player Market,$ 20.06
2021-06-12 19:49,Cardhoarder,36.74 tix
2021-06-13 08:17,Tcg Player Market,$ 20.10
2021-06-13 08:17,Cardhoarder,38.29 tix
2021-06-13 12:06,Tcg Player Market,$ 19.63
2021-06-13 12:06,Cardhoarder,42.09 tix
2021-06-13 18:46,Tcg Player Market,$ 19.57
2021-06-13 18:46,Cardhoarder,39.25 tix
2021-06-14 09:00,Tcg Player Market,$ 19.41
2021-06-14 09:00,Cardhoarder,42.85 tix
2021-06-14 12:00,Tcg Player Market,$ 19.49
2021-06-14 12:00,Cardhoarder,45.86 tix
2021-06-14 15:00,Tcg Player Market,$ 19.49
2021-06-14 15:00,Cardhoarder,51.13 tix
2021-06-15 09:00,Tcg Player Market,$ 19.01
2021-06-15 09:00,Cardhoarder,44.40 tix
2021-06-15 12:00,Tcg Player Market,$ 18.93
2021-06-15 12:00,Cardhoarder,46.13 tix
2021-06-15 15:00,Tcg Player Market,$ 18.90
2021-06-15 15:00,Cardhoarder,45.39 tix
2021-06-15 18:00,Tcg Player Market,$ 18.92
2021-06-15 18:00,Cardhoarder,46.76 tix
2021-06-15 21:00,Tcg Player Market,$ 18.90
2021-06-15 21:00,Cardhoarder,45.20 tix
2021-06-16 09:00,Tcg Player Market,$ 18.75
2021-06-16 09:00,Cardhoarder,40.36 tix
2021-06-16 12:00,Tcg Player Market,$ 18.77
2021-06-16 12:00,Cardhoarder,40.91 tix
2021-06-16 15:00,Tcg Player Market,$ 18.78
2021-06-16 15:00,Cardhoarder,39.64 tix
2021-06-16 18:00,Tcg Player Market,$ 18.80
2021-06-16 18:00,Cardhoarder,39.99 tix
2021-06-17 09:00,Tcg Player Market,$ 18.68
2021-06-17 09:00,Cardhoarder,42.53 tix
2021-06-17 13:14,Tcg Player Market,$ 18.19
2021-06-17 13:14,Cardhoarder,40.16 tix
2021-06-17 15:00,Tcg Player Market,$ 18.22
2021-06-17 15:00,Cardhoarder,40.20 tix
2021-06-17 21:00,Tcg Player Market,$ 18.96
2021-06-17 21:00,Cardhoarder,44.12 tix
2021-06-18 09:00,Tcg Player Market,$ 18.09
2021-06-18 09:00,Cardhoarder,42.73 tix
2021-06-18 13:05,Tcg Player Market,$ 18.00
2021-06-18 13:05,Cardhoarder,44.68 tix
2021-06-18 15:00,Tcg Player Market,$ 18.00
2021-06-18 15:00,Cardhoarder,45.56 tix
2021-06-18 18:00,Tcg Player Market,$ 18.35
2021-06-18 18:00,Cardhoarder,51.15 tix
2021-06-19 09:00,Tcg Player Market,$ 18.55
2021-06-19 09:00,Cardhoarder,48.59 tix
2021-06-19 13:21,Tcg Player Market,$ 18.76
2021-06-19 13:21,Cardhoarder,55.11 tix
2021-06-19 15:33,Tcg Player Market,$ 18.76
2021-06-19 15:33,Cardhoarder,51.12 tix
2021-06-19 18:00,Tcg Player Market,$ 18.71
2021-06-19 18:00,Cardhoarder,48.86 tix
2021-06-20 09:00,Tcg Player Market,$ 18.76
2021-06-20 09:00,Cardhoarder,42.39 tix
2021-06-20 12:00,Tcg Player Market,$ 18.68
2021-06-20 12:00,Cardhoarder,44.16 tix
2021-06-20 15:00,Tcg Player Market,$ 18.88
2021-06-20 15:00,Cardhoarder,42.64 tix
2021-06-21 09:00,Tcg Player Market,$ 21.59
2021-06-21 09:00,Cardhoarder,40.02 tix
2021-06-21 12:00,Tcg Player Market,$ 20.99
2021-06-21 12:00,Cardhoarder,40.02 tix
2021-06-21 15:00,Tcg Player Market,$ 21.59
2021-06-21 15:00,Cardhoarder,39.25 tix
2021-06-21 18:47,Tcg Player Market,$ 21.99
2021-06-21 18:47,Cardhoarder,40.02 tix
2021-06-22 15:00,Tcg Player Market,$ 21.12
2021-06-22 15:00,Cardhoarder,48.06 tix
2021-06-22 18:00,Tcg Player Market,$ 21.35
2021-06-22 18:00,Cardhoarder,49.14 tix
2021-06-23 09:00,Tcg Player Market,$ 21.01
2021-06-23 09:00,Cardhoarder,37.48 tix
2021-06-23 12:00,Tcg Player Market,$ 21.04
2021-06-23 12:00,Cardhoarder,39.79 tix
2021-06-23 15:00,Tcg Player Market,$ 20.41
2021-06-23 15:00,Cardhoarder,39.46 tix
2021-06-24 12:00,Tcg Player Market,$ 19.85
2021-06-24 12:00,Cardhoarder,38.33 tix
2021-06-24 15:00,Tcg Player Market,$ 19.75
2021-06-24 15:00,Cardhoarder,37.75 tix
2021-06-24 18:00,Tcg Player Market,$ 19.71
2021-06-24 18:00,Cardhoarder,40.25 tix
2021-06-25 09:00,Tcg Player Market,$ 19.48
