Date,Site,Price
2021-06-10 21:20,Tcg Player Market,$�72.22
2021-06-11 07:23,Tcg Player Market,$ 72.22
2021-06-11 11:43,Tcg Player Market,$ 76.79
2021-06-11 15:54,Tcg Player Market,$ 76.79
2021-06-12 09:32,Tcg Player Market,$ 77.49
2021-06-12 10:56,Tcg Player Market,$ 77.49
2021-06-12 16:28,Tcg Player Market,$ 77.49
2021-06-12 19:49,Tcg Player Market,$ 77.49
2021-06-13 08:17,Tcg Player Market,$ 77.49
2021-06-13 12:06,Tcg Player Market,$ 78.00
2021-06-13 18:46,Tcg Player Market,$ 78.00
2021-06-14 09:00,Tcg Player Market,$ 78.00
2021-06-14 12:00,Tcg Player Market,$ 78.02
2021-06-14 15:00,Tcg Player Market,$ 78.02
2021-06-15 09:00,Tcg Player Market,$ 78.02
2021-06-15 12:00,Tcg Player Market,$ 81.03
2021-06-15 15:00,Tcg Player Market,$ 81.03
2021-06-15 18:00,Tcg Player Market,$ 81.03
2021-06-15 21:00,Tcg Player Market,$ 81.03
2021-06-16 09:00,Tcg Player Market,$ 82.94
2021-06-16 12:00,Tcg Player Market,$ 82.94
2021-06-16 15:00,Tcg Player Market,$ 82.94
2021-06-16 18:00,Tcg Player Market,$ 82.94
2021-06-17 09:00,Tcg Player Market,$ 82.94
2021-06-17 13:14,Tcg Player Market,$ 82.12
2021-06-17 15:00,Tcg Player Market,$ 82.12
2021-06-17 21:00,Tcg Player Market,$ 82.12
2021-06-18 09:00,Tcg Player Market,$ 82.12
2021-06-18 13:05,Tcg Player Market,$ 82.34
2021-06-18 15:00,Tcg Player Market,$ 82.34
2021-06-18 18:00,Tcg Player Market,$ 82.34
2021-06-19 09:00,Tcg Player Market,$ 82.34
2021-06-19 13:21,Tcg Player Market,$ 88.68
2021-06-19 15:33,Tcg Player Market,$ 88.68
2021-06-19 18:00,Tcg Player Market,$ 88.68
2021-06-20 09:00,Tcg Player Market,$ 88.68
2021-06-20 12:00,Tcg Player Market,$ 94.14
2021-06-20 15:00,Tcg Player Market,$ 94.14
2021-06-21 09:00,Tcg Player Market,$ 94.14
2021-06-21 12:00,Tcg Player Market,$ 97.89
2021-06-21 15:00,Tcg Player Market,$ 97.89
2021-06-21 18:47,Tcg Player Market,$ 97.89
2021-06-22 09:00,Tcg Player Market,$ 97.89
2021-06-22 12:00,Tcg Player Market,$ 97.85
2021-06-22 15:00,Tcg Player Market,$ 97.85
2021-06-22 18:00,Tcg Player Market,$ 97.85
2021-06-23 09:00,Tcg Player Market,$ 99.08
2021-06-23 12:00,Tcg Player Market,$ 99.08
2021-06-23 15:00,Tcg Player Market,$ 99.08
2021-06-24 09:00,Tcg Player Market,$ 99.08
2021-06-24 12:00,Tcg Player Market,$ 95.67
2021-06-24 15:00,Tcg Player Market,$ 95.67
2021-06-24 18:00,Tcg Player Market,$ 95.67
2021-06-25 09:00,Tcg Player Market,$ 92.13
2021-06-25 12:00,Tcg Player Market,$ 92.13
2021-06-25 15:00,Tcg Player Market,$ 92.13
2021-06-25 18:00,Tcg Player Market,$ 92.13
2021-06-26 09:00,Tcg Player Market,$ 98.82
2021-06-26 12:00,Tcg Player Market,$ 98.82
2021-06-26 15:00,Tcg Player Market,$ 98.82
2021-06-26 18:00,Tcg Player Market,$ 98.82
2021-06-27 09:00,Tcg Player Market,$ 98.82
2021-06-27 12:00,Tcg Player Market,$ 101.00
2021-06-27 15:00,Tcg Player Market,$ 101.00
